Guide	Gene	AP2_i10	BR1_i12	BR3_i25	BR4_i14	m1_aav_i15
Mertk_+_128698940.23-P1P2	Mertk	2275	2893	1948	2515	3827
Sucnr1_-_60081928.23-P1P2	Sucnr1	3104	3007	3005	3447	5887
Ick_+_78113382.23-P1	Ick_P1	1800	1514	1406	1717	2708
Cdk19_+_40349436.23-P1P2	Cdk19	2025	2403	2175	2496	3995
Trf_-_103230205.23-P1	Trf_P1	1186	821	1168	1324	2339
Drd1a_+_54055594.23-P1P2	Drd1a	2035	2211	1979	2327	3592
Man1b1_+_25332771.23-P1P2	Man1b1	1219	1325	1395	1136	1963
Sds_+_120476578.23-P1P2	Sds	1744	1729	1930	2024	3496
Pmvk_+_89459271.23-P1P2	Pmvk	1146	1062	1206	983	2215
Rpl8_-_76904133.23-P1P2	Rpl8	39	23	69	99	106
Hmgcl_+_135946529.23-P1P2	Hmgcl	1178	1628	1355	1377	2544
Ndufc1_+_51408983.23-P1P2	Ndufc1	1867	2119	1715	1723	3262
Zmynd8_-_165858177.23-P2	Zmynd8_P2	385	206	479	475	677
Csf2ra_+_61228373.23-P1P2	Csf2ra	2274	2519	1989	2346	4024
Ctsf_+_4855199.23-P1P2	Ctsf	1039	1318	807	1268	2429
Slc1a2_-_102706483.23-ENSMUST00000111212.1	Slc1a2	2168	1912	1904	2361	4300
Nrgn_-_37552601.23-P1P2	Nrgn	2409	3011	2619	2953	4303
Sst_-_23890732.23-P1P2	Sst	2799	2571	2728	2963	4504
Pi4kb_-_94975009.23-P1P2	Pi4kb	2153	2084	1879	2189	3204
Ache_-_137288290.23-P1P2	Ache	1229	1219	1571	1390	2306
Rab8b_+_66919427.23-P1P2	Rab8b	266	274	290	300	433
Scn2a1_-_65668814.23-P2	Scn2a1_P2	387	489	225	303	454
Adck4_-_27233043.23-P1	Adck4_P1	2418	2591	2285	2929	4550
Ppp2r1a_-_20945690.23-P1P2	Ppp2r1a	706	1022	770	1116	2237
Chek2_+_110840031.23-P1P2	Chek2	594	687	655	636	1062
Fer_-_63896144.23-ENSMUST00000000129.6	Fer	1571	1500	1928	2007	3511
Ppp6c_-_39226095.23-P1P2	Ppp6c	2214	2265	2230	2243	3358
P4ha2_-_54113216.23-P2	P4ha2_P2	1251	1215	912	973	1786
Camk2d_+_126597071.23-P1P2	Camk2d	2968	3580	3350	3315	5029
Prkg2_-_99037120.23-P1P2	Prkg2	1011	879	905	941	1520
Map3k13_+_21891976.23-ENSMUST00000042065.6	Map3k13	2532	2118	2251	2577	4258
Scnn1g_+_121734500.23-P1P2	Scnn1g	2410	2715	2912	2540	4705
Ptp4a3_+_73748390.23-P1	Ptp4a3_P1	1389	1703	1792	1514	2464
Grk5_-_60890292.23-P1P2	Grk5	1456	1180	1636	1758	2563
Crat_+_30415271.23-P1P2	Crat	1332	1280	1396	1295	2411
Asna1_+_85024779.23-P1P2	Asna1	2167	2433	1597	2770	4929
Ptgr1_+_58987058.23-P1P2	Ptgr1	3470	3162	3350	3889	6081
Cks2_+_51645545.23-P1P2	Cks2	1226	1054	1067	1138	1934
Lsm6_+_78821016.23-P1	Lsm6_P1	1497	2126	1747	1562	2871
Park7_-_150909774.23-P1	Park7_P1	1817	1985	1688	1935	3119
Ptpra_-_130450329.23-P1P2	Ptpra	1768	1755	1740	2262	3535
Serpind1_+_17331724.23-P1P2	Serpind1	1856	1962	2112	2112	3692
Car6_+_150201102.23-P1	Car6_P1	3249	3770	3112	3801	6624
Ndufc1_-_51408803.23-P1P2	Ndufc1	924	1294	1010	1327	1791
Ptk2b_-_66280905.23-P1	Ptk2b_P1	541	329	525	491	781
Tll2_-_41206765.23-P1P2	Tll2	2010	1833	1020	1573	2677
Mtmr12_+_12205147.23-P1P2	Mtmr12	1883	2097	2204	2196	3631
Prkg1_-_31765001.23-ENSMUST00000065067.6	Prkg1	1732	1427	1518	1586	2702
Car9_+_43508882.23-P2	Car9_P2	1544	1532	1181	1688	2589
Nt5m_-_59848353.23-P1P2	Nt5m	2271	2329	2355	2494	4046
Cd247_-_165788818.23-P1P2	Cd247	1432	1758	1607	1865	2922
Pglyrp3_+_92014646.23-ENSMUST00000047660.4	Pglyrp3	736	322	516	558	1008
Igf1r_-_67952150.23-P1P2	Igf1r	284	421	211	373	602
Jak2_+_29251830.23-P1P2	Jak2	775	376	367	468	903
Allc_+_28582504.23-P1P2	Allc	910	974	1093	959	1848
Rbp3_-_33954452.23-P1P2	Rbp3	2118	2274	2570	2989	4641
Ephx2_-_66124295.23-P1P2	Ephx2	2125	2227	1925	1833	3022
Pdk1_+_71873351.23-P1P2	Pdk1	1902	2360	1965	2302	3056
Jakmip1_+_37047482.23-P2	Jakmip1_P2	2392	2242	2600	2457	4386
Rnase4_+_51091141.23-P2	Rnase4_P2	16	14	0	11	8
Ppm1m_-_106199188.23-P1P2	Ppm1m	2023	1854	2088	2114	2970
Gngt1_+_3994226.23-P1P2	Gngt1	731	1243	1098	1131	2102
Ndufa4l2_+_127515063.23-P1P2	Ndufa4l2	2709	2930	3011	3005	5434
Syt2_+_134709311.23-ENSMUST00000121990.1	Syt2	670	596	889	730	1211
Plk4_-_40800052.23-P1P2	Plk4	965	919	716	817	1309
Ctsl_-_64370307.23-P1P2	Ctsl	754	1071	652	830	1550
Cdc14a_+_116423942.23-P1P2	Cdc14a	219	52	185	198	365
Pik3cb_+_99140168.23-P1P2	Pik3cb	1874	1925	1815	2192	3319
Dusp14_-_84068283.23-P2	Dusp14_P2	2696	3015	2957	3238	5078
Actr2_+_20112629.23-P1P2	Actr2	179	180	245	287	357
Nlk_-_78697024.23-P1P2	Nlk	2549	2823	2473	2763	4458
Mgat1_-_49250602.23-P1P2	Mgat1	1222	1437	1329	1514	2361
Ctdsp2_+_126978933.23-P1P2	Ctdsp2	512	645	478	794	1084
Mccc1_-_36000340.23-P1P2	Mccc1	597	739	556	582	1021
Scn10a_+_119719123.23-P1P2	Scn10a	2443	2580	2054	2498	4063
Pla2g2e_+_138879448.23-P1	Pla2g2e_P1	1077	852	808	1119	1756
Camkk2_+_122779182.23-P1P2	Camkk2	1585	2076	1778	1824	2954
Tlr7_+_167330518.23-P1P2	Tlr7	102	156	97	115	228
Nfe2l1_-_96829213.23-P1P2	Nfe2l1	1664	1768	1646	1650	3348
Ces1g_-_93337197.23-P1P2	Ces1g	3741	3292	2946	3391	5428
Rarres1_-_67515408.23-P1P2	Rarres1	2225	1354	1781	2288	3250
Papss1_-_131565167.23-P1P2	Papss1	1744	1515	1587	1828	2679
Adora3_-_105870943.23-P1P2	Adora3	353	259	251	269	552
Hpx_-_105600011.23-P1P2	Hpx	2185	1871	1819	2177	3987
Gp9_-_87778167.23-P1P2	Gp9	1466	1962	1222	1514	2732
Il11ra1_+_41760501.23-P1P2	Il11ra1	446	473	694	650	1221
Mastl_+_23155836.23-P1P2	Mastl	2190	3088	2414	2370	4055
Acp1_+_30911590.23-P1P2	Acp1	2519	2149	2480	2395	4299
Kidins220_-_24974955.23-P1P2	Kidins220	2311	2438	2015	2178	4276
Pik3cd_-_149698576.23-P1P2	Pik3cd	3035	2564	2142	2774	3978
Oxt_+_130576429.23-P1P2	Oxt	1734	2112	1768	2217	3268
Anxa3_+_96793546.23-P1P2	Anxa3	774	374	482	582	789
Insr_-_3279603.23-P1P2	Insr	1549	2116	1656	1801	2775
Efnb2_-_8661212.23-P1P2	Efnb2	3085	3881	2949	3079	5207
Stk32c_+_139213224.23-P2	Stk32c_P2	2548	3094	2260	2392	4213
Sele_+_164048220.23-P1P2	Sele	3776	4070	3566	3984	6652
Pcsk1_-_75090222.23-P1P2	Pcsk1	2434	2436	2267	2235	4153
Itpkc_-_27228621.23-P1P2	Itpkc	978	1207	771	1091	1896
Grin2c_+_115267060.23-P1P2	Grin2c	360	171	161	261	401
Grk5_-_60890513.23-P1P2	Grk5	1846	1656	1522	1653	2472
Cacnb3_+_98634808.23-P1P2	Cacnb3	1752	2151	1706	1904	3262
Pi4k2b_+_52741640.23-P1P2	Pi4k2b	1174	1406	1185	1294	1943
Irgc1_-_24445518.23-P2	Irgc1_P2	1810	1863	1684	1721	2695
Dgki_-_37299914.23-P1P2	Dgki	1694	2227	1750	1924	3138
Ggcx_-_72414375.23-P1P2	Ggcx	2858	3257	3192	3404	5378
Phpt1_+_25574835.23-P1P2	Phpt1	1663	2309	1495	1561	2808
Acot13_-_24831351.23-P1P2	Acot13	0	0	0	12	13
Pdpk1_-_24150828.23-P2	Pdpk1_P2	1667	1911	1637	1932	3141
Proz_+_13061008.23-P1P2	Proz	2323	2627	2228	2393	3752
Tubb1_-_174450743.23-P1P2	Tubb1	600	599	698	675	1058
Gabrb3_+_57591211.23-P1P2	Gabrb3	2645	3192	2594	2694	4382
Pxk_-_8098131.23-P1P2	Pxk	1626	1046	1284	1811	2442
Azgp1_-_137981562.23-P1P2	Azgp1	2012	1131	1799	1695	2789
Musk_+_58286209.23-P1P2	Musk	343	270	150	295	488
Ptp4a3_+_73748615.23-P1	Ptp4a3_P1	2429	2784	2319	2918	4148
Nme7_-_164307768.23-P1P2	Nme7	2519	3768	3020	3142	5336
non-targeting_00134	non-targeting	1411	1658	1441	1446	2513
Tubb5_+_35837990.23-P1P2	Tubb5	1756	1530	1432	1547	2632
Aak1_+_86849599.23-P1P2	Aak1	2800	3420	2413	2610	5060
Aadat_-_60506147.23-P1P2	Aadat	2457	2248	2988	2694	4745
Prss1_-_41459201.23-P1P2	Prss1	1479	1325	1744	1581	2439
Sytl4_-_133981717.23-P1P2	Sytl4	3191	2738	2731	3262	4829
Cdkl3_-_52004495.23-P1P2	Cdkl3	1496	1574	1594	1727	3150
Pak4_+_28598139.23-P1P2	Pak4	1638	1576	1454	1507	2223
Kcnk3_-_30588141.23-P1P2	Kcnk3	1316	1408	1241	1555	2342
Serpina1d_+_103773540.23-P1P2	Serpina1d	175	206	363	240	462
Scyl3_+_163930272.23-P1P2	Scyl3	2106	2177	2338	2332	3704
Scn4a_+_106349582.23-P1P2	Scn4a	1156	1039	1031	1149	1945
non-targeting_00013	non-targeting	1940	2277	1755	1957	3200
Got1_-_43524737.23-P1P2	Got1	2184	2117	1724	2234	3620
Adh5_+_138443122.23-P1P2	Adh5	1110	1459	1213	1426	2177
Cdk7_+_100730851.23-P1P2	Cdk7	657	594	781	667	1152
Pycr2_-_180904287.23-P1P2	Pycr2	1348	1307	1452	1717	2602
Psap_+_60277740.23-P1P2	Psap	2162	2507	1734	2088	3450
Lias_-_65391626.23-P1P2	Lias	0	0	0	11	0
Mtmr3_+_4594259.23-P1P2	Mtmr3	1971	1996	1710	2041	3317
Htr2b_+_86111897.23-P1P2	Htr2b	1820	1969	1492	1745	3162
Trpv3_+_73267511.23-P1P2	Trpv3	1238	1592	1192	1915	3282
Map3k8_-_4352907.23-P1P2	Map3k8	1729	1343	1580	1669	2416
Aldh3a2_+_61267118.23-P1P2	Aldh3a2	1407	1799	1454	1726	3069
Ak4_-_101419978.23-P1P2	Ak4	2082	1605	1785	1882	3323
Cd3d_-_44981985.23-P1P2	Cd3d	1092	1010	1433	1497	2339
Ptprr_-_116018381.23-P1P2	Ptprr	3872	3704	3027	3751	7059
Aldh5a1_-_24937653.23-P1P2	Aldh5a1	1254	1340	1113	1247	1942
Prkd2_+_16843222.23-P1P2	Prkd2	892	1448	993	1005	1771
Nek9_+_85339348.23-P1P2	Nek9	1281	1340	1358	1182	1904
Dgkz_-_91949881.23-P2	Dgkz_P2	331	500	296	364	644
Nadk_-_155563875.23-P1P2	Nadk	942	845	934	727	1529
Aurka_+_172370498.23-P1P2	Aurka	2347	2049	2411	2504	4063
Fgfr1_+_25518810.23-P1P2	Fgfr1	437	620	633	653	881
Wdsub1_-_59882588.23-P1P2	Wdsub1	1946	1803	1728	1606	3142
non-targeting_00024	non-targeting	1488	1898	1743	1760	2500
Stk32a_+_43207681.23-P1P2	Stk32a	2831	3240	2622	3001	4338
Sigmar1_+_41741242.23-P1P2	Sigmar1	2359	2570	2408	2477	4797
Aars_-_111033907.23-P1P2	Aars	36	1	39	26	80
Smpd1_+_105554507.23-P1P2	Smpd1	1100	1320	998	1427	2347
Sult2a5_+_13624237.23-P1P2	Sult2a5	689	749	429	696	1181
Pacsin3_-_91259893.23-P2	Pacsin3_P2	1580	1687	2098	1940	3533
Vdac1_-_52361164.23-P1P2	Vdac1	2334	1471	2136	2377	3659
Siglec1_-_131086190.23-P1P2	Siglec1	840	1103	682	1110	1527
Cela2a_+_141825929.23-P1P2	Cela2a	1226	1512	1199	1287	2303
5730455P16Rik_-_80377985.23-P1P2	5730455P16Rik	2902	3092	3074	3116	5163
Trpd52l3_+_30003860.23-P1P2	Trpd52l3	2465	2849	2840	2947	4951
Sgk3_-_9798153.23-P1	Sgk3_P1	2546	2250	2672	2458	4517
Slc18a1_-_69077211.23-P2	Slc18a1_P2	169	444	353	136	425
Ramp3_+_6658570.23-P1P2	Ramp3	1022	863	947	1065	1909
Glra2_+_165327369.23-P1P2	Glra2	279	92	224	286	466
Hs3st1_+_39644566.23-P1P2	Hs3st1	1077	1258	712	970	1439
Adk_-_21052596.23-P2	Adk_P2	1209	1535	1754	1400	1866
Axl_+_25788401.23-P1P2	Axl	653	638	432	679	1231
Sik3_-_46012911.23-P1P2	Sik3	2294	2212	2043	1968	3625
Rps6ka1_+_133887771.23-P1	Rps6ka1_P1	2373	2711	2123	2619	3838
Rxra_-_27677616.23-P1P2	Rxra	1180	1069	1098	993	1379
P4hb_-_120572778.23-P1P2	P4hb	2609	3227	2517	2770	4328
Cdc25c_-_34751459.23-P1P2	Cdc25c	941	872	937	792	1561
Dpep1_-_123186355.23-P2	Dpep1_P2	982	1070	1026	836	1508
Igf1r_-_67952047.23-P1P2	Igf1r	2263	2468	2746	2621	4528
Tsks_+_44943467.23-P1P2	Tsks	1006	682	788	991	1413
Pla2g1b_+_115466267.23-P1P2	Pla2g1b	1071	957	1157	1168	2197
Trib2_-_15816445.23-P1P2	Trib2	2590	2982	2420	2656	4217
Ptpn21_-_98734611.23-P2	Ptpn21_P2	1719	1991	1355	1604	2727
Shmt2_-_127522376.23-P1P2	Shmt2	434	861	526	616	1125
non-targeting_00198	non-targeting	1124	688	683	1413	2071
Myo3b_-_70039315.23-P1P2	Myo3b	2273	2094	2170	2260	3857
Sik1_+_31855773.23-P1P2	Sik1	2768	2483	2502	2719	3886
Eif2ak4_-_118388684.23-P1P2	Eif2ak4	741	870	889	988	1622
Hipk1_+_103791211.23-P1P2	Hipk1	1869	1845	2177	2137	3551
Ppp6c_+_39226067.23-P1P2	Ppp6c	1215	1524	1489	1721	2330
Pggt1b_+_46280791.23-P1P2	Pggt1b	1983	2481	1669	2027	3827
Lhcgr_+_88791965.23-P1P2	Lhcgr	668	389	461	685	1026
Csnk2a2_-_95488751.23-P1P2	Csnk2a2	345	630	542	352	622
Slc6a7_+_61013962.23-P1P2	Slc6a7	2695	2258	2581	2773	4663
Ffar1_-_30861426.23-ENSMUST00000052700.3	Ffar1	648	996	693	962	1609
Lhpp_+_132610901.23-P1P2	Lhpp	1173	1378	1055	1167	1981
Lars_+_42261894.23-P1P2	Lars	769	789	895	1077	1515
Acox1_-_116198811.23-P1P2	Acox1	694	754	710	841	1257
Scn9a_+_66634473.23-P1P2	Scn9a	2314	2366	2605	2642	4168
Sult2a4_-_13989234.23-ENSMUST00000165167.1,ENSMUST00000108520.2	Sult2a4	535	795	457	629	1028
Aadacl2_-_60006889.23-P1P2	Aadacl2	974	1228	1106	1067	1954
Insrr_-_87796971.23-P1P2	Insrr	2023	1318	1911	1961	3333
Kcnh2_+_24351636.23-P1	Kcnh2_P1	2071	1925	1728	2059	2983
Jakmip1_+_37028376.23-P1	Jakmip1_P1	2596	2425	2575	2910	4273
Mmp25_+_23644976.23-P1P2	Mmp25	1084	982	912	1242	1593
Slc5a6_+_31048170.23-P1P2	Slc5a6	2436	2300	2443	2325	4341
Acsl3_-_78657920.23-P1P2	Acsl3	2708	2568	2778	2553	4093
Ppm1f_-_16896580.23-P1P2	Ppm1f	1622	1486	1878	2208	3306
Chrna3_-_55026372.23-P1P2	Chrna3	1627	1961	1937	2076	2999
Lgals2_-_78855478.23-P1P2	Lgals2	2059	1763	2295	2111	3438
Cyp2c29_-_39287120.23-P1P2	Cyp2c29	2277	2470	2791	2534	4720
Prkch_-_73584826.23-P1P2	Prkch	2282	2241	2156	2013	3699
Ptpn1_+_167932643.23-P1P2	Ptpn1	949	1108	929	1032	1384
Pla2g2d_-_138776045.23-P1P2	Pla2g2d	2880	3783	2481	3320	5427
Ndufv2_-_66101470.23-P1P2	Ndufv2	2022	2575	2141	2269	3853
Chrna9_+_65967160.23-ENSMUST00000031108.6	Chrna9	2399	2382	2349	2925	4422
Krt7_+_101412444.23-P1	Krt7_P1	2488	3515	2470	2874	4260
Trem1_-_48232778.23-P1P2	Trem1	3767	3175	3219	3689	6184
Matk_+_81257548.23-P1P2	Matk	2333	2735	1952	2102	3690
Oaz2_-_65676637.23-P1P2	Oaz2	1525	2448	1555	2062	3062
Slc6a14_-_21715251.23-P1P2	Slc6a14	2346	1825	2117	2213	3810
Tek_-_94739542.23-P1P2	Tek	445	342	298	218	471
Ppp1r3f_-_7574120.23-ENSMUST00000150787.1	Ppp1r3f	1078	1832	1121	1598	2539
Lhcgr_+_88791995.23-P1P2	Lhcgr	2078	2236	2191	2051	3764
Dntt_+_41029444.23-P1P2	Dntt	1562	1543	1994	1881	2812
Pkmyt1_-_23726475.23-P1P2	Pkmyt1	829	603	663	759	1177
Rps6kb1_+_86544719.23-P1P2	Rps6kb1	3360	3226	3181	2959	5162
Araf_-_20848601.23-P1P2	Araf	1172	714	845	795	1154
Clcn2_+_20716018.23-P1	Clcn2_P1	2383	3419	2450	2423	4249
Prnp_-_131909980.23-P1P2	Prnp	3411	3898	3002	3462	5823
Gls_-_52233198.23-P1P2	Gls	0	0	18	8	28
Pde4b_+_102255157.23-ENSMUST00000106908.2	Pde4b	677	858	656	717	1353
Got2_-_95888379.23-P1P2	Got2	241	456	484	402	531
Gpx7_-_108406722.23-P1P2	Gpx7	1976	2530	1592	1971	3024
Ern1_-_106487777.23-P1P2	Ern1	1501	1735	1637	1453	2581
Cdkl2_-_92042605.23-P1P2	Cdkl2	50	50	102	105	66
Gprc5a_+_135065675.23-P1P2	Gprc5a	1030	915	820	1073	2045
Slc1a7_+_107968472.23-P1P2	Slc1a7	2829	3339	2411	2774	4932
Dnpep_+_75317404.23-P1P2	Dnpep	2262	2946	2411	2665	4846
Msra_-_64440837.23-P1P2	Msra	770	1059	762	952	1714
non-targeting_00146	non-targeting	255	396	226	364	427
Adrbk2_-_113015480.23-P1P2	Adrbk2	1065	1470	1223	1362	2122
Ptgr1_-_58986977.23-P1P2	Ptgr1	602	1004	595	710	1124
Ftl1_+_45459843.23-P1P2	Ftl1	1183	1325	1042	1399	2296
Ahcy_+_155074127.23-P1P2	Ahcy	1539	1861	1297	1612	2676
Tubb5_-_35838222.23-P1P2	Tubb5	2124	1797	1978	1932	3727
Riok1_-_38037484.23-P1P2	Riok1	2886	3213	2986	3330	5564
Dgki_-_37299727.23-P1P2	Dgki	275	232	190	231	508
Arf2_+_103966751.23-P1P2	Arf2	2140	2009	2241	2221	3978
Chrna3_-_55026489.23-P1P2	Chrna3	1599	1501	1453	1443	2470
Asrgl1_+_9135587.23-P1P2	Asrgl1	2138	2180	1915	2358	3850
Trim24_-_37871060.23-P1P2	Trim24	2427	2427	2437	2755	4138
non-targeting_00065	non-targeting	2019	2036	1548	1980	3233
Map2k4_+_65788299.23-P1P2	Map2k4	413	499	508	611	726
Sult2a3_+_14122692.23-P1P2	Sult2a3	3694	3649	4098	4288	7459
Dntt_-_41029488.23-P1P2	Dntt	2645	2581	1958	2579	4588
Cpd_-_76846941.23-P1P2	Cpd	2256	2314	2031	2082	2769
Pde3b_+_114415287.23-P1P2	Pde3b	1270	1642	1533	1296	2038
Cryz_+_154597232.23-P1P2	Cryz	296	336	307	396	602
Nme2_-_93955901.23-P1P2	Nme2	1703	2308	2014	1879	3011
Adk_+_21076188.23-P1	Adk_P1	19	0	10	19	36
Ptp4a3_-_73748402.23-P1	Ptp4a3_P1	3128	3050	3080	3062	5031
non-targeting_00045	non-targeting	0	0	2	0	0
Tnnc2_+_164779339.23-P1P2	Tnnc2	2963	3172	2585	3178	5623
Scly_-_91298589.23-P1P2	Scly	611	369	324	408	739
Hcrt_+_100762905.23-P1P2	Hcrt	951	1559	677	829	1643
Myo1d_-_80779942.23-P1P2	Myo1d	672	503	558	647	859
Aprt_-_122576851.23-P1P2	Aprt	1606	1886	1986	1596	2645
Abcc9_-_142702231.23-P1P2	Abcc9	1116	1387	893	874	1656
Ctsl_-_64370285.23-P1P2	Ctsl	1442	1300	1230	1698	2325
Insr_+_3279565.23-P1P2	Insr	1305	960	981	1079	1520
Ptpn23_-_110408143.23-P1P2	Ptpn23	1974	2025	1850	2286	3902
Ppp1cb_-_32459280.23-P1P2	Ppp1cb	2380	2970	1975	2576	4449
Pdpk1_+_24141557.23-P1	Pdpk1_P1	814	871	572	1041	1422
Mapk7_-_61493789.23-P1P2	Mapk7	1863	1382	1604	1728	2680
Cdk8_+_146231303.23-P1P2	Cdk8	49	151	87	93	173
Styk1_+_131313459.23-ENSMUST00000049150.1	Styk1	1322	1676	1563	1553	2742
Trpm6_+_18749832.23-P1P2	Trpm6	257	109	295	409	581
Uba1_+_20662925.23-P1	Uba1_P1	2131	2806	2108	2362	4596
Pts_+_50528459.23-P1P2	Pts	1594	1395	1355	1459	2154
Tuba1b_+_98934446.23-P1P2	Tuba1b	31	160	58	114	160
Trpm7_-_126876228.23-P1P2	Trpm7	859	905	1083	1435	1651
Serpina1b_-_103827673.23-P1P2	Serpina1b	3210	3579	2910	3361	5163
Car9_+_43507085.23-P1	Car9_P1	1776	1710	1673	1903	2609
Nars_+_64516471.23-P1P2	Nars	396	478	248	334	860
Rdh5_-_128919270.23-P1P2	Rdh5	619	747	475	538	1182
Asrgl1_+_9135363.23-P1P2	Asrgl1	984	966	1139	1192	1707
Ppp3cc_-_70289462.23-P1P2	Ppp3cc	1732	2020	1789	2082	3707
Galk1_+_116012653.23-P1P2	Galk1	1998	2108	2186	2033	3567
Eif2ak4_+_118388703.23-P1P2	Eif2ak4	1366	1531	1766	1496	2379
Mr1_-_155146418.23-P1P2	Mr1	818	515	463	747	1123
Pkm_+_59656803.23-P1P2	Pkm	1611	2015	1513	1950	3908
Prkcdbp_+_105482171.23-P1P2	Prkcdbp	673	660	612	749	1314
Mark1_+_184999945.23-P1P2	Mark1	486	259	507	464	609
Mtmr11_-_96162243.23-P1P2	Mtmr11	1167	1540	1419	1291	2416
Allc_+_28582499.23-P1P2	Allc	1389	2079	1214	1778	2531
Ppfia3_-_45366444.23-P2	Ppfia3_P2	1544	1747	1113	1484	2540
non-targeting_00043	non-targeting	2148	2483	2369	2392	3551
Mthfd2_-_83317226.23-P1P2	Mthfd2	2317	2927	2494	2335	4229
Cacna1a_+_84415379.23-ENSMUST00000121390.1	Cacna1a	908	895	817	1205	1985
Pkdcc_-_83215258.23-P1P2	Pkdcc	241	567	350	388	475
Slc29a1_+_45593641.23-P2	Slc29a1_P2	1711	2694	1744	2262	3356
Ptpn1_-_167932419.23-P1P2	Ptpn1	1814	1949	1733	1912	2738
Ndufa11_-_56717856.23-P1P2	Ndufa11	1902	2106	2088	2292	3891
Aars2_+_45506896.23-P1P2	Aars2	1434	1094	1219	1384	2411
Ace2_-_164140640.23-P1P2	Ace2	1178	1487	1452	1397	2378
Idh3g_+_73786642.23-P1P2	Idh3g	2334	2125	2130	2327	3818
Nuak2_+_132316202.23-P1P2	Nuak2	1300	1611	1288	1656	2168
Ftcd_+_76575660.23-P1P2	Ftcd	2124	2412	2410	2279	4114
Trib1_-_59648607.23-P1P2	Trib1	2041	2449	1921	2004	3646
Slc22a6_-_8618103.23-P1P2	Slc22a6	1258	1101	1145	1358	2098
Csf2ra_-_61228372.23-P1P2	Csf2ra	2208	2373	2086	2789	4200
Brsk2_-_141949738.23-P1P2	Brsk2	2477	1987	2671	2709	4666
Gucy2c_+_136781693.23-P1P2	Gucy2c	1457	2178	2152	1764	3399
Fars2_+_36117898.23-P1P2	Fars2	128	100	263	102	432
Pacsin1_-_27685264.23-P2	Pacsin1_P2	64	129	48	153	95
Gsta1_+_78231005.23-P1P2	Gsta1	2558	2289	2277	2106	4269
Mapk15_-_75993829.23-P1	Mapk15_P1	977	807	961	1038	1639
Ak1_-_32625494.23-P1	Ak1_P1	2977	3076	3379	2941	5290
Ppp1r13b_+_111908038.23-P1P2	Ppp1r13b	1960	2392	1838	1477	2348
Adc_+_128962087.23-P1P2	Adc	2616	3460	2847	2577	3964
Gpr18_-_121915768.23-P1P2	Gpr18	2308	1930	2575	3065	4531
Gch1_+_47189375.23-P1P2	Gch1	1873	2128	2397	2118	3702
Prkacb_+_146781304.23-P1P2	Prkacb	236	110	93	170	329
Nme5_+_34579046.23-P1P2	Nme5	1350	1382	1550	1227	2430
Chrna2_-_66141100.23-P1P2	Chrna2	3215	4091	3247	2989	4816
Pkib_+_57632114.23-P1	Pkib_P1	2987	3104	3310	3460	5081
Rps6ka4_+_6840534.23-P1P2	Rps6ka4	1269	917	1294	1092	2036
Grm8_-_28134373.23-P1P2	Grm8	1745	1338	1433	1563	2642
Zap70_+_36761909.23-P1P2	Zap70	841	706	967	841	1543
Dbf4_-_8422470.23-P1P2	Dbf4	1192	1486	1249	1055	1424
Rcvrn_+_67695392.23-P1P2	Rcvrn	1750	2132	1755	1899	3473
Cox7a1_+_30184238.23-P1P2	Cox7a1	2330	2953	2410	2619	3776
Ankk1_+_49426987.23-P1P2	Ankk1	2779	2807	2352	2582	4771
Il2rg_+_101268210.23-P1P2	Il2rg	1014	1017	1158	1480	2328
Snx3_-_42502293.23-P1P2	Snx3	969	1533	1136	1413	1989
Ptgdr_+_44859309.23-P1P2	Ptgdr	983	898	944	1055	1629
Ppbp_+_90768763.23-P1P2	Ppbp	56	1	80	79	127
Cysltr1_+_106603502.23-P1P2	Cysltr1	1851	1947	2014	1864	2574
Akr1b8_-_34354392.23-P1P2	Akr1b8	1352	2269	1351	1589	2962
Egln3_-_54203765.23-P1P2	Egln3	1895	1888	1803	1962	3330
Prkab2_+_97658349.23-P1P2	Prkab2	1036	924	820	911	1880
Noxo1_+_24698334.23-P1	Noxo1_P1	1553	2242	1626	1670	3324
Car14_+_95904625.23-P1P2	Car14	1392	1533	1621	1515	2439
Inpp5d_+_87620414.23-P1P2	Inpp5d	766	735	665	789	1169
Arf2_+_103966943.23-P1P2	Arf2	1944	2140	2250	1960	3508
Pik3ca_+_32397663.23-P1P2	Pik3ca	1864	2800	2048	1889	3222
Grin3b_+_79970861.23-P1P2	Grin3b	2418	2331	1976	2443	4199
F10_-_13037840.23-P1P2	F10	3654	4071	3846	4027	6725
Trpv3_+_73267549.23-P1P2	Trpv3	1935	2088	1560	2124	3032
Ear11_-_51255827.23-ENSMUST00000061936.6	Ear11	772	591	397	476	728
Aurkb_-_69045709.23-P1P2	Aurkb	1985	1995	1863	1914	3088
Sphk2_+_45715186.23-P2	Sphk2_P2	3062	2633	2750	2925	4828
Hrh3_+_180104422.23-P1P2	Hrh3	1713	1777	1738	1633	2939
Ren1_-_133350837.23-P1P2	Ren1	2787	3559	3156	3332	4589
Kcnmb4_+_116473893.23-P1P2	Kcnmb4	367	329	388	618	857
Mmp24_-_155775415.23-P1P2	Mmp24	1694	2302	1608	1884	2751
Pank3_-_35770058.23-P1P2	Pank3	2458	1876	2144	2181	3711
Ppp1r1c_-_79707993.23-P1P2	Ppp1r1c	564	602	529	672	1135
